route,frame_id,requested_slot,used_slot,top1_idx,hardms_snapped_idx,hardms_mode_to_anchor_m,Top-1 patch center_error_m,Gaussian local average + Top-1_error_m,3x3 local average + Top-1_error_m,Fixed HardMS (snapped anchor)_error_m,Oracle nearest anchor_error_m,Fixed HardMS (continuous mode; diagnostic)_error_m
model_dataset_new_2_flight,23,33,33,34,21,1.6735758781433105,6.013886451721191,6.013886451721191,6.013886451721191,9.966824531555176,1.3117784261703491,8.699790954589844
model_dataset_new_2_flight,24,26,26,29,27,1.41212797164917,15.521113395690918,16.101764678955078,16.101764678955078,6.013886451721191,1.3117784261703491,7.264981269836426
model_dataset_new_2_flight,25,4,4,8,9,1.0140126943588257,10.306201934814453,7.168758869171143,7.168758869171143,6.53147554397583,0.4943726360797882,7.250678062438965
model_dataset_new_2_flight,26,14,14,35,27,1.256319284439087,20.5881290435791,20.5881290435791,20.5881290435791,10.968486785888672,0.4943726360797882,10.68773365020752
model_dataset_new_2_flight,27,4,4,8,9,1.0806442499160767,10.306201934814453,7.168758869171143,7.168758869171143,6.53147554397583,0.4943726360797882,7.389222621917725
model_dataset_new_2_flight,28,25,25,2,14,1.7104486227035522,18.787235260009766,18.2860164642334,19.002065658569336,9.825016975402832,0.7721344232559204,9.34045696258545
model_dataset_new_2_flight,29,16,16,32,27,2.554703712463379,17.860675811767578,20.886404037475586,20.886404037475586,11.358672142028809,0.7721344232559204,10.4120512008667
model_dataset_new_2_flight,30,25,25,2,14,1.7044835090637207,18.787235260009766,18.2860164642334,19.002065658569336,9.825016975402832,0.7721344232559204,9.327048301696777
model_dataset_new_2_flight,31,18,18,7,14,1.4742599725723267,9.090494155883789,13.21870231628418,13.21870231628418,8.977859497070312,1.6908831596374512,9.597801208496094
model_dataset_new_2_flight,32,32,32,21,14,2.1453158855438232,9.090494155883789,13.590353012084961,13.21870231628418,13.21870231628418,1.6908831596374512,11.76840591430664
model_dataset_new_2_flight,33,26,26,15,14,1.9027029275894165,9.090494155883789,13.590353012084961,13.590353012084961,8.524657249450684,1.6908831596374512,7.401247978210449
model_dataset_new_2_flight,34,10,10,11,15,1.2330907583236694,2.9823200702667236,4.154455184936523,4.154455184936523,9.305618286132812,2.627429723739624,10.531311988830566
model_dataset_new_2_flight,35,26,26,27,21,2.4102745056152344,2.9823200702667236,4.154455184936523,3.9079864025115967,4.154455184936523,2.627429723739624,4.951930999755859
model_dataset_new_2_flight,36,19,19,31,20,1.2175533771514893,11.579520225524902,11.857327461242676,11.857327461242676,6.752907752990723,2.6149744987487793,7.253036022186279
