frame_id,gt_x,gt_y,visual_x,visual_y,prediction_x,prediction_y,robust_x,robust_y,mahalanobis_d2,visual_update_weight
66,-266.5252380371094,22.56446075439453,-264.40020751953125,1.216127872467041,-263.86065673828125,4.276378154754639,-264.13037109375,2.7466835975646973,0.24098922312259674,1.0
69,-276.4721984863281,23.421621322631836,-273.86285400390625,1.2759987115859985,-274.07476806640625,3.704031229019165,-273.9680480957031,2.481390953063965,0.14943191409111023,1.0
72,-286.3374328613281,24.40123176574707,-288.05682373046875,1.3657933473587036,-283.9124450683594,3.4387385845184326,-285.9747619628906,2.4072089195251465,0.5359376668930054,1.0
75,-296.3150329589844,25.5032958984375,-302.2812805175781,-3.3025829792022705,-295.9191589355469,3.3645565509796143,-299.0859680175781,0.045926809310913086,2.1119449138641357,1.0
78,-306.37432861328125,26.571962356567383,-311.7439270019531,-3.242736577987671,-309.0303649902344,1.0032744407653809,-310.381591796875,-1.111027479171753,0.6305269598960876,1.0
81,-316.4438171386719,27.44025421142578,-325.9378967285156,-3.1529786586761475,-320.32598876953125,-0.15367984771728516,-323.1205139160156,-1.6472153663635254,1.004709243774414,1.0
83,-326.2784423828125,28.264019012451172,-340.10137939453125,1.694922685623169,-333.0649108886719,-0.6898677349090576,-336.568603515625,0.4976004362106323,1.3691610097885132,1.0
86,-336.1232604980469,29.13231086730957,-349.56402587890625,1.754744529724121,-346.51300048828125,1.4549480676651,-348.0323486328125,1.6042399406433105,0.23309668898582458,1.0
89,-346.0498046875,30.067394256591797,-359.02667236328125,1.8145601749420166,-357.97674560546875,2.5615875720977783,-358.4999084472656,2.189359188079834,0.04120218753814697,1.0
92,-356.03759765625,31.113798141479492,-368.48931884765625,1.874369740486145,-368.4443054199219,3.1467068195343018,-368.4668273925781,2.510469436645508,0.04037555307149887,1.0
95,-366.0764465332031,32.11567306518555,-377.95196533203125,1.9341731071472168,-378.4112243652344,3.4678170680999756,-378.17974853515625,2.6948068141937256,0.06447496265172958,1.0
98,-376.074462890625,33.0618896484375,-387.3841552734375,6.752127170562744,-388.1241455078125,3.6521544456481934,-387.7469787597656,5.232138633728027,0.2596645951271057,1.0
101,-386.01123046875,33.930179595947266,-396.81634521484375,11.570075035095215,-397.6913757324219,6.189486503601074,-397.24176025390625,8.954118728637695,0.7720975279808044,1.0
104,-395.8560485839844,34.84300231933594,-406.24853515625,16.388015747070312,-407.1861572265625,9.911466598510742,-406.7052917480469,13.23304271697998,1.119736909866333,1.0
107,-405.7723693847656,35.70016098022461,-415.6807556152344,21.205951690673828,-416.6496887207031,14.190390586853027,-416.1553039550781,17.769914627075195,1.308685302734375,1.0
109,-415.7295227050781,36.62411117553711,-425.1434020996094,21.265724182128906,-426.0997009277344,18.727262496948242,-425.6045837402344,20.041563034057617,0.1946002095937729,1.0
112,-425.7071228027344,37.63711929321289,-434.57562255859375,26.083646774291992,-435.5489807128906,20.998910903930664,-435.0496826171875,23.607200622558594,0.7071825265884399,1.0
115,-435.776611328125,38.627864837646484,-444.0078430175781,30.90156364440918,-444.99407958984375,24.56454849243164,-444.4917907714844,27.79197120666504,1.0759719610214233,1.0
118,-445.7133483886719,39.57407760620117,-453.4400634765625,35.71947479248047,-454.4361877441406,28.749319076538086,-453.9338073730469,32.26459503173828,1.2786844968795776,1.0
