run_id,pipeline,grid_size,candidate_count,decoder,gru_ablation,bandwidth_m,tau,seed,training_from_scratch,jitter_m,route,MLE_m,MedLE_m,P90_m,P95_m,P99_m,CVaR90_m,LSR@5_pct,LSR@10_pct,LSR@15_pct,LSR@20_pct,VisualMLE_m,Latency_ms_per_frame,FPS,PeakCUDAAllocated_MB
gru_no_first_difference,MKG,6,36,softms,no_first_difference,8.0,0.3,2026,True,0.0,route_C,6.07717292759528,4.637697684145894,12.642644986778338,16.525514828726877,18.83010818806375,16.201165970461822,53.17965023847376,78.93481717011129,93.24324324324324,99.92050874403816,6.0345389904671265,9.054168316889069,110.44636735266603,118.5419921875
gru_no_temporal_mean,MKG,6,36,softms,no_temporal_mean,8.0,0.3,2026,True,0.0,route_B,6.701398456789015,5.866505606646836,12.663982990390066,15.227116039326498,20.523544102512467,16.213491496238277,41.73989455184534,79.87697715289983,94.59578207381371,98.3743409490334,6.550177711806255,8.909645541506809,112.2379106263389,118.5419921875
gru_no_temporal_mean,MKG,6,36,softms,no_temporal_mean,8.0,0.3,2026,True,0.0,route_C,6.333946433297782,4.780608351738507,13.53784406125723,16.228696187711407,19.65431723479893,16.61883378309563,52.702702702702695,79.09379968203497,92.36883942766295,98.96661367249602,6.0345389904671265,9.8911193231688,101.10079226904239,118.5419921875
gru_no_variance,MKG,6,36,softms,no_variance,8.0,0.3,2026,True,0.0,route_B,6.980509243059115,6.301216589980246,13.12174964040723,15.551116608833619,19.38952827942381,15.990487038938129,37.91739894551846,76.84534270650263,94.24428822495607,99.42882249560633,6.550177711806255,9.476515034017527,105.52402401202696,118.5419921875
gru_no_variance,MKG,6,36,softms,no_variance,8.0,0.3,2026,True,0.0,route_C,6.854562612817216,5.939739786760235,13.973882447529656,15.649996308308427,17.83180679212513,15.848520163138382,41.971383147853736,75.11923688394276,93.32273449920508,100.0,6.0345389904671265,9.217390579744835,108.49057456646075,118.5419921875
gru_no_xy,MKG,6,36,softms,no_xy,8.0,0.3,2026,True,0.0,route_B,6.233974051580197,5.597844093099544,11.808121478698855,13.697525906218315,16.707674453292366,13.99875644944716,44.244288224956065,82.86467486818981,97.75922671353251,99.95606326889279,6.550177711806255,9.392687523524415,106.46580092177604,118.5419921875
gru_no_xy,MKG,6,36,softms,no_xy,8.0,0.3,2026,True,0.0,route_C,5.89061929003639,4.732251208658324,12.384398106091453,13.868421424823655,15.867638500929953,14.293206235187515,52.861685214626384,82.27344992050874,97.61526232114467,100.0,6.0345389904671265,9.314229532622,107.36261077715734,118.5419921875
seed_123,MKG,6,36,softms,full,8.0,0.3,123,True,0.0,route_B,6.348820521719766,5.48474534349147,12.512335308672778,15.198950885627234,18.98211647395256,15.62935659433546,45.298769771528995,82.20562390158173,94.63971880492092,99.69244288224957,6.550177711806255,9.547243438800423,104.74227523475052,118.5419921875
seed_123,MKG,6,36,softms,full,8.0,0.3,123,True,0.0,route_C,5.671506065696882,4.326079266339525,12.029236377760363,14.040096545825941,17.603610786663598,14.574950585229917,56.91573926868044,82.43243243243244,96.74085850556439,99.4435612082671,6.0345389904671265,9.298963416978285,107.53886806073184,118.5419921875
seed_456,MKG,6,36,softms,full,8.0,0.3,456,True,0.0,route_B,6.408901361275365,5.464329439740691,12.664924689597731,15.61162509709121,19.825136776732844,16.26663933860674,45.650263620386646,81.195079086116,94.15641476274165,99.12126537785588,6.550177711806255,9.42926274192497,106.05283014903574,118.5419921875
seed_456,MKG,6,36,softms,full,8.0,0.3,456,True,0.0,route_C,5.91491574882458,4.250890988810053,14.02892863796344,16.343626696054866,18.236245831022384,16.562453975151346,56.04133545310016,81.637519872814,91.33545310015899,99.68203497615262,6.0345389904671265,9.465276013095847,105.64932270505716,118.5419921875
tau_0p20,MKG,6,36,softms,full,8.0,0.2,2026,True,0.0,route_B,7.6946664804913425,6.689127369315113,14.990427509822222,17.7677133282299,21.334134595754342,18.218274473081262,35.89630931458699,71.74868189806678,90.11423550087873,97.05623901581723,7.657637414977664,9.96242396896108,100.37717759408747,118.5419921875
tau_0p20,MKG,6,36,softms,full,8.0,0.2,2026,True,0.0,route_C,6.784596563939717,5.238007506374586,14.629324793556249,16.83704881928743,18.747488134401543,16.94148487674783,48.330683624801274,75.75516693163752,91.17647058823529,99.52305246422894,6.807334327688067,9.981831504128333,100.1820156537821,118.5419921875
tau_0p50,MKG,6,36,softms,full,8.0,0.5,2026,True,0.0,route_B,4.793909537730339,4.167688148290335,9.063238385903425,10.602893342502094,13.88006724762703,11.174467769997024,60.41300527240774,93.89279437609842,99.42882249560633,100.0,5.340313911153097,8.912722252917625,112.19916559978573,118.5419921875
tau_0p50,MKG,6,36,softms,full,8.0,0.5,2026,True,0.0,route_C,4.539163693732788,3.6993291498012466,9.305099323081283,10.710891579122787,12.4344406851849,10.905481320443045,62.32114467408585,93.08426073131956,99.92050874403816,100.0,5.223054258265397,8.741634770380697,114.39507898320146,118.5419921875
window_4x4,MKG,4,16,softms,full,8.0,0.3,2026,True,0.0,route_B,4.196666863303522,3.7261654263249584,7.806663057277786,9.182127685340319,11.34351351589047,9.4330328367389,67.39894551845342,96.92442882249561,100.0,100.0,4.732795673250237,6.086999837508988,164.2845452102451,118.39794921875
window_4x4,MKG,4,16,softms,full,8.0,0.3,2026,True,0.0,route_C,3.4655417895339635,2.9572943862592953,6.491963444713191,7.57282509999396,10.194232984169359,7.997453949303689,75.9141494435612,98.80763116057234,100.0,100.0,4.699042342136919,6.715191814594172,148.91607382334087,118.39794921875
window_5x5,MKG,5,25,softms,full,8.0,0.3,2026,True,0.0,route_B,5.067096382696982,4.392444027825702,9.46498177657119,11.242121607713553,14.977157712434655,11.811417860201992,56.89806678383128,91.91564147627417,99.07732864674868,100.0,4.648498266533571,6.734244140059515,148.49476484693682,118.46337890625
window_5x5,MKG,5,25,softms,full,8.0,0.3,2026,True,0.0,route_C,4.945653650696551,3.9390998637044055,10.54799144603756,12.928734633963124,15.070416690638092,13.027511957341488,63.910969793322735,88.95071542130366,98.80763116057234,100.0,4.035783183456104,6.955580744253022,143.76944740757122,118.46337890625
window_7x7,MKG,7,49,softms,full,8.0,0.3,2026,True,0.0,route_B,8.861523529288915,8.23253658282004,16.102953997825292,18.64877943077136,23.148859931770843,19.335358565767972,28.646748681898064,60.852372583479784,86.8189806678383,96.66080843585237,7.078557917921991,10.729636035806507,93.19980628073874,118.63623046875
window_7x7,MKG,7,49,softms,full,8.0,0.3,2026,True,0.0,route_C,7.784818780747269,6.4682237985803095,16.172851768116505,18.930230763720733,21.719913335955383,19.03166107561797,38.79173290937997,70.03179650238474,86.48648648648648,97.13831478537361,5.86682025759311,11.012311624962205,90.8074556965175,118.63623046875
window_8x8,MKG,8,64,softms,full,8.0,0.3,2026,True,0.0,route_B,9.261872909052686,8.52098140322991,16.865287323900297,19.960928573288594,23.827264083800422,20.333856078021206,25.263620386643233,59.3585237258348,85.1493848857645,95.03514938488577,8.798273483334928,13.92038767756803,71.83707976836358,118.74365234375
window_8x8,MKG,8,64,softms,full,8.0,0.3,2026,True,0.0,route_C,7.626639166182911,6.292270734141149,15.625437193500813,17.878813434339094,21.58094435004534,18.53208233016964,40.4610492845787,69.0779014308426,88.23529411764706,97.77424483306835,7.7410641003883365,13.230583478252218,75.58245648377873,118.74365234375
