sequence_index,frame_id,image_path,active_leg_before,active_leg_after,active_waypoint_from,active_waypoint_to,search_heading_deg,forward_local_candidate_count,topology_recovery_candidate_count,selected_branch,selected_local_index,selected_recovery_index,leg_choice,leg_state_delta,leg_probability_previous,leg_probability_current,leg_probability_next,waypoint_switched_after_frame,waypoint_advanced_after_frame,waypoint_rollback_after_frame,gt_x,gt_y,hold_x,hold_y,local_x,local_y,recovery_x,recovery_y,fusion_hold,fusion_local,fusion_recovery,visual_x,visual_y,measurement_var_x,measurement_var_y,final_x,final_y,error_visual_m,error_final_m
2014,2014,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_002014.jpg,14,13,14,15,-32.68341868676126,16,24,1,0,0,0,-1,0.9351761937141418,0.06482384353876114,0.0,1,0,1,-611.5435791015625,396.1526794433594,-942.0469360351562,581.2474975585938,-946.8389892578125,571.7609252929688,-4.1773552894592285,-0.4327203929424286,0.3331602215766907,0.3335358500480652,0.33330395817756653,-946.8389892578125,571.7609252929688,49.0,49.0,-943.8532144579179,577.671704470914,378.4986877441406,378.65399799504024
2015,2015,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_002015.jpg,13,14,13,14,-7.569675444400844,9,24,1,0,0,2,1,0.4314820468425751,0.02903519757091999,0.5394827127456665,1,1,0,-608.7725830078125,394.3317565917969,-946.8389892578125,571.7609252929688,-946.8389892578125,571.7609252929688,-4.1773552894592285,-0.4327203929424286,0.33316054940223694,0.33353525400161743,0.333304226398468,-946.8389892578125,571.7609252929688,49.0,49.0,-944.0951202107426,577.1928165498051,381.7983703613281,381.94158088008265
2016,2016,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_002016.jpg,14,13,14,15,-32.68341868676126,8,24,1,0,0,0,-1,0.9351831674575806,0.06481678783893585,0.0,1,0,1,-605.7254638671875,392.32940673828125,-946.8389892578125,571.7609252929688,-946.8389892578125,571.7609252929688,-4.1773552894592285,-0.4327203929424286,0.3331602215766907,0.3335358500480652,0.33330395817756653,-946.8389892578125,571.7609252929688,49.0,49.0,-944.3174268989453,576.7527278519592,385.42718505859375,385.55995487122107
2017,2017,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_002017.jpg,13,14,13,14,-7.569675444400844,9,24,1,4,0,2,1,0.43140843510627747,0.02904532663524151,0.5395462512969971,1,1,0,-602.9548950195312,390.5087585449219,-946.8389892578125,571.7609252929688,-942.0469360351562,581.2474975585938,-4.1773552894592285,-0.4327203929424286,0.33316048979759216,0.33353543281555176,0.33330410718917847,-942.0469360351562,581.2474975585938,49.0,49.0,-944.1334730382235,577.1168915021096,389.05615234375,388.8771237609952
2018,2018,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_002018.jpg,14,13,14,15,-32.68341868676126,16,24,1,4,0,0,-1,0.9351739883422852,0.06482595205307007,0.0,1,0,1,-598.711181640625,387.77789306640625,-942.0469360351562,581.2474975585938,-942.0469360351562,581.2474975585938,-4.1773552894592285,-0.4327203929424286,0.3331601321697235,0.3335359990596771,0.333303838968277,-942.0469360351562,581.2474975585938,49.0,49.0,-943.9644230132379,577.4515508232852,394.09381103515625,393.92371993213277
2019,2019,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_002019.jpg,13,14,13,14,-7.569675444400844,16,24,1,3,0,2,1,0.43141546845436096,0.02904912270605564,0.5395353436470032,1,1,0,-594.478515625,385.0541076660156,-942.0469360351562,581.2474975585938,-942.0469360351562,581.2474975585938,-4.1773552894592285,-0.4327203929424286,0.3331604301929474,0.33353546261787415,0.3333040773868561,-942.0469360351562,581.2474975585938,49.0,49.0,-943.80906932381,577.7590962392086,399.11859130859375,398.957451827274
2020,2020,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_002020.jpg,14,13,14,15,-32.68341868676126,16,24,1,4,0,0,-1,0.9351792931556702,0.06482067704200745,0.0,1,0,1,-591.8435668945312,383.3844909667969,-942.0469360351562,581.2474975585938,-942.0469360351562,581.2474975585938,-4.1773552894592285,-0.4327203929424286,0.3331601023674011,0.3335360288619995,0.33330386877059937,-942.0469360351562,581.2474975585938,49.0,49.0,-943.6663023007297,578.0417245028506,402.2339782714844,402.08292144358694
2021,2021,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_002021.jpg,13,14,13,14,-7.569675444400844,16,24,1,3,0,2,1,0.4313836693763733,0.029065972194075584,0.5395504236221313,1,1,0,-588.9536743164062,381.5533142089844,-942.0469360351562,581.2474975585938,-942.0469360351562,581.2474975585938,-4.1773552894592285,-0.4327203929424286,0.333160400390625,0.3335355222225189,0.3333040773868561,-942.0469360351562,581.2474975585938,49.0,49.0,-943.5351021795464,578.301454387523,405.65087890625,405.50933361536465
2022,2022,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_002022.jpg,14,13,14,15,-32.68341868676126,16,24,1,4,0,0,-1,0.9351809024810791,0.06481911987066269,0.0,1,0,1,-586.0634155273438,379.721923828125,-942.0469360351562,581.2474975585938,-942.0469360351562,581.2474975585938,-4.1773552894592285,-0.4327203929424286,0.3331601023674011,0.3335360884666443,0.333303838968277,-942.0469360351562,581.2474975585938,49.0,49.0,-943.4145318165372,578.5401411066878,409.0682373046875,408.93581872337677
2023,2023,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_002023.jpg,13,14,13,14,-7.569675444400844,16,24,1,3,0,2,1,0.4314024746417999,0.02910434827208519,0.539493203163147,1,1,0,-583.1085205078125,377.82330322265625,-942.0469360351562,581.2474975585938,-942.0469360351562,581.2474975585938,-4.1773552894592285,-0.4327203929424286,0.333160400390625,0.3335355222225189,0.3333040475845337,-942.0469360351562,581.2474975585938,49.0,49.0,-943.3037299948236,578.7594895654818,412.5750732421875,412.45113640210826
2024,2024,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_002024.jpg,14,13,14,15,-32.68341868676126,16,24,1,4,0,0,-1,0.9351810812950134,0.06481894850730896,0.0,1,0,1,-580.4191284179688,376.0952453613281,-942.0469360351562,581.2474975585938,-942.0469360351562,581.2474975585938,-4.1773552894592285,-0.4327203929424286,0.33316007256507874,0.3335360586643219,0.33330386877059937,-942.0469360351562,581.2474975585938,49.0,49.0,-943.2019052728219,578.9610665386107,415.76690673828125,415.65115732360397
2025,2025,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_002025.jpg,13,14,13,14,-7.569675444400844,16,24,1,3,0,2,1,0.4313882291316986,0.02911449782550335,0.5394973158836365,1,1,0,-577.7300415039062,374.3674621582031,-942.0469360351562,581.2474975585938,-942.0469360351562,581.2474975585938,-4.1773552894592285,-0.4327203929424286,0.333160400390625,0.3335355222225189,0.3333040773868561,-942.0469360351562,581.2474975585938,49.0,49.0,-943.1083303310893,579.1463118615969,418.9584045410156,418.8504162969467
