frame_id,reference_x,reference_y,search_center_x,search_center_y,search_center_error_m,base_ms_x,base_ms_y,base_ms_error_m,final_x,final_y,error_final_m,variance_x,variance_y,second_ms_nearest_candidate_m,second_ms_capture
10,-77.41057586669922,4.6642866134643555,-69.41402898211317,4.89931410678601,7.999999999999997,-64.67952728271484,0.5031164884567261,13.393839436734583,-53.70768737792969,0.3859456777572632,24.085911314982255,22.204336166381836,7.532183647155762,2.2966055870056152,True
11,-80.71418762207031,4.9646830558776855,-86.7693512174816,10.192970904954652,8.0,-94.01118469238281,10.585332870483398,14.436129516817395,-77.86650085449219,2.9815657138824463,3.470169206013132,83.97499084472656,45.48933410644531,0.880686342716217,True
12,-84.01985931396484,5.2652668952941895,-83.0866278246927,-2.680114089116243,8.0,-92.3224105834961,0.6882588863372803,9.4805780360298,-92.61902618408203,1.9656505584716797,9.210490694330407,31.900293350219727,30.583036422729492,0.7054309248924255,True
13,-87.32689666748047,5.565974712371826,-82.64800478453313,12.055040188053937,8.0,-93.8128433227539,14.655693054199219,11.166489311722195,-94.6366195678711,12.848873138427734,10.318558928684894,23.26114273071289,64.65469360351562,2.103764772415161,True
14,-90.52931213378906,5.903904438018799,-98.3626821398185,4.27961556326826,8.000000000000002,-106.91722106933594,3.1249938011169434,16.6218501860552,-106.91722106933594,3.1249938011169434,16.6218501860552,27.61077117919922,35.08478546142578,1.6010253429412842,True
15,-93.73101806640625,6.241759300231934,-86.85774344351702,2.148093955049581,7.999999999999999,-96.38092041015625,2.2972025871276855,4.752000641236019,-107.51173400878906,2.3406267166137695,14.32225426808263,16.827903747558594,34.39942169189453,1.381641149520874,True
16,-97.24320983886719,6.612377643585205,-99.5461174276458,14.273749363946116,8.0,-107.62480926513672,3.8579766750335693,10.74077889834243,-108.11502075195312,1.7286043167114258,11.918368782605205,8.181188583374023,27.216670989990234,2.2773985862731934,True
17,-100.48795318603516,6.946656227111816,-103.96504303881292,-0.2581925676728387,8.0,-108.3021469116211,1.220067024230957,9.687902119630353,-108.244140625,1.7002713680267334,9.363919995279392,5.987008571624756,24.363407135009766,2.650449514389038,True
18,-103.73233032226562,7.28089714050293,-96.30162704604649,10.24478796521058,7.999999999999997,-108.00337219238281,2.5323739051818848,6.386726201480534,-108.74253845214844,1.716475486755371,7.4876547627036425,6.725082874298096,22.234588623046875,2.3364739418029785,True
19,-107.29228973388672,7.647648811340332,-114.77353855734613,10.481535901802344,8.000000000000004,-110.46283721923828,1.5910711288452148,6.8362639344138145,-110.6248779296875,0.7902349233627319,7.62432090837071,13.237037658691406,35.67418670654297,2.286299705505371,True
20,-110.61548614501953,7.9523024559021,-107.01330931808062,0.8091713422052269,8.000000000000002,-112.10222625732422,0.7078766226768494,7.395410861786998,-112.1599349975586,0.6670001745223999,7.4472109940020825,13.270307540893555,36.11484146118164,2.9505221843719482,True
21,-113.93445587158203,8.25656795501709,-111.76547321916192,15.956926015101088,7.999999999999998,-115.6239013671875,2.9038162231445312,5.6130363606239255,-115.48275756835938,1.667659044265747,6.768379331747154,17.86635971069336,23.62954330444336,1.8157873153686523,True
22,-117.24945068359375,8.560468673706055,-124.05030812050533,4.3475910202719605,7.999999999999998,-117.72452545166016,2.2195420265197754,6.35869851308036,-117.05914306640625,2.191971778869629,6.371339709095786,27.125375747680664,27.829574584960938,1.3117784261703491,True
23,-120.81004333496094,8.859625816345215,-112.94954475092885,7.372157493849074,7.999999999999995,-118.84921264648438,2.948573589324951,6.227792178567995,-119.30023956298828,2.9328107833862305,6.116097110475885,29.685781478881836,33.61320495605469,1.8640602827072144,True
24,-124.06947326660156,9.133479118347168,-128.8607898737779,15.539982468053338,8.000000000000004,-130.16384887695312,10.00727367401123,6.156698060288171,-123.11853790283203,3.0451784133911133,6.1621168067504115,33.56949996948242,42.15624237060547,1.8109211921691895,True
