current_frame_id,next_frame_id,current_reference_x,current_reference_y,current_search_center_x,current_search_center_y,current_search_center_error_m,current_ms_error_m,provisional_next_x,provisional_next_y,provisional_next_error_m,final_next_x,final_next_y,final_next_error_m,final_next_nearest_candidate_m,final_next_candidate_capture,ms_correction_gain_m
1939,1940,-830.2846069335938,536.3929443359375,-827.010272452735,529.0937160405998,7.99999999999994,15.378373162252313,-817.9649658203125,516.9375,20.217996244405583,-815.799560546875,517.2478637695312,21.08157949129706,6.603181838989258,True,-0.8635832468914764
1940,1941,-827.6398315429688,534.6903686523438,-825.1236660164697,542.2843735932993,7.999999999999965,17.250644908473525,-825.95849609375,552.128173828125,19.34552518569244,-833.714111328125,555.989501953125,24.84684253321858,4.910327911376953,True,-5.50131734752614
1941,1942,-824.7363891601562,532.8212890625,-831.7214079436781,528.9213515509688,8.000000000000052,15.400822964794019,-834.8199462890625,516.5731201171875,19.376593586254845,-835.0297241210938,517.4714965820312,18.86592939034354,3.5891335010528564,True,0.510664195911307
1942,1943,-821.8286743164062,530.949462890625,-814.0437689153799,529.1068430445714,7.99999999999996,14.528974692578371,-808.0624389648438,524.3287353515625,11.799054456850227,-812.8192138671875,518.025390625,12.565061206118285,1.0138012170791626,True,-0.7660067492680582
1943,1944,-818.8846435546875,529.029541015625,-823.3803186941683,535.6468595843697,7.999999999999972,5.314906226459192,-831.0750122070312,538.1885986328125,18.442603064553253,-831.9508666992188,533.206787109375,16.825204446161205,3.2709462642669678,True,1.6173986183920483
1944,1945,-816.2036743164062,527.2811279296875,-817.35863784983,519.3649382378937,8.000000000000023,9.80124526694795,-811.76318359375,508.9110412597656,16.70932030089294,-812.3968505859375,515.4584350585938,10.131735286534427,7.038173675537109,True,6.5775850143585135
1945,1946,-813.5157470703125,525.5281982421875,-807.3168036011131,530.5851834968298,8.000000000000007,4.276773090703715,-809.491943359375,533.5588989257812,9.951980855925372,-812.286376953125,523.3460693359375,1.709965779391873,0.764780580997467,True,8.2420150765335
1946,1947,-810.6072998046875,523.6696166992188,-818.5941522535763,524.1280793036683,8.00000000000002,6.588689119525963,-820.76953125,520.0679931640625,12.956410064504407,-817.0383911132812,518.3612670898438,9.776350581683067,2.3879480361938477,True,3.18005948282134
1947,1948,-807.9541015625,521.97412109375,-802.3745321724707,516.2410237265454,7.999999999999974,3.825328741797175,-800.0567626953125,515.4161987304688,6.858233040976161,-808.544677734375,517.2102661132812,4.5465376624753615,1.5987300872802734,True,2.3116953785008
1948,1949,-805.049560546875,520.1180419921875,-805.2911097405545,528.1143945348805,7.999999999999989,4.50024759295264,-807.91162109375,530.8046875,13.618947368565268,-811.1883544921875,521.9804077148438,9.568497992961941,1.8280259370803833,True,4.050449375603327
1949,1950,-802.3204956054688,518.3863525390625,-807.5438432796044,512.3269269000186,8.00000000000003,8.101923336069744,-811.9715576171875,509.25994873046875,14.420900740732757,-814.19091796875,516.024169921875,14.61392520292803,2.055482864379883,True,-0.19302446219527347
1950,1951,-799.590576171875,516.6541137695312,-791.6459589496106,517.5938249973563,7.999999999999985,3.70959809525411,-783.1312255859375,521.4295654296875,15.027317195340347,-788.96630859375,520.0277709960938,9.273893601602678,1.3120921850204468,True,5.7534235937376685
1951,1952,-796.5936279296875,514.75244140625,-803.0865072314368,519.4260394177306,8.000000000000036,15.159441263185355,-814.5821533203125,522.5882568359375,22.80779037197498,-814.229248046875,518.8087158203125,21.159947068418294,11.408374786376953,False,1.6478433035566873
1952,1953,-793.8734130859375,513.0308837890625,-792.2427360557473,505.19884111660406,7.9999999999999964,5.33781435074871,-794.0992431640625,503.0292053222656,8.788923253810706,-806.42626953125,511.084716796875,15.273452868295339,2.3734564781188965,True,-6.484529614484632
1953,1954,-791.1544799804688,511.31011962890625,-787.0664216632435,518.186730654329,8.000000000000027,8.659962542470554,-785.98828125,524.9064331054688,15.63887038595618,-791.9290771484375,521.3572998046875,12.515436834274857,1.8813477754592896,True,3.123433551681323
1954,1955,-788.1683349609375,509.4202575683594,-795.8278259409145,507.1111023272266,8.00000000000002,19.74733558849848,-805.5155029296875,509.4718322753906,21.908700044557946,-811.8189697265625,516.5128784179688,29.727630714044516,12.258201599121094,False,-7.818930669486569
1955,1956,-783.7976684570312,506.5862121582031,-776.5899862331447,503.114999551711,7.9999999999999964,5.874491776213819,-768.3734741210938,506.4361267089844,11.705451044107631,-768.149169921875,513.6199951171875,15.121807574390655,1.8387413024902344,True,-3.416356530283023
1956,1957,-779.8247680664062,504.0101318359375,-782.7947181963715,511.4384153675159,7.999999999999978,14.280087333034691,-782.7183837890625,524.6317749023438,23.23389041537759,-780.2078857421875,521.4873657226562,19.632879358817046,6.705203056335449,True,3.6010110565605444
1957,1958,-776.934814453125,502.1292419433594,-779.7625990864445,494.6456843623982,7.999999999999988,0.8908918926148974,-776.9912719726562,492.5008544921875,8.359243063743381,-773.37353515625,502.2047424316406,2.0156397310724077,2.360466957092285,True,6.343603332670973
1958,1959,-774.3021240234375,500.4157409667969,-767.1619331284314,504.02374235023234,7.999999999999989,10.195150552437175,-763.211669921875,507.98394775390625,12.510945048930822,-770.3781127929688,511.6064147949219,13.1138464779508,1.1137038469314575,True,-0.6029014290199779
