frame_id,reference_x,reference_y,latency_shared_candidate_ms,top1_x,top1_y,top1_error_m,weighted_centroid_x,weighted_centroid_y,weighted_centroid_error_m,softms_x,softms_y,softms_error_m
13,-64.62455749511719,2.3488411903381348,7.416001986712217,-75.14722442626953,0.017425041645765305,10.777848243713379,-76.95691680908203,-0.031512558460235596,12.559982299804688,-76.96472930908203,0.7692190408706665,12.440862655639648
14,-67.96265411376953,2.678952693939209,7.517186983022839,-75.14722442626953,0.017425041645765305,7.661708354949951,-78.91239166259766,2.482194423675537,10.951504707336426,-78.66761779785156,3.0353078842163086,10.710893630981445
15,-71.30087280273438,3.009075880050659,7.221013016533107,-75.14722442626953,0.017425041645765305,4.872822284698486,-78.94967651367188,1.9680604934692383,7.719320774078369,-78.66068267822266,2.512904405593872,7.376515865325928
16,-74.64299774169922,3.3395848274230957,7.126237964257598,-84.5793228149414,4.835577011108398,10.048310279846191,-84.30062103271484,1.8800914287567139,9.767282485961914,-84.25431823730469,2.858433723449707,9.623355865478516
17,-77.97047424316406,3.6625680923461914,7.250786991789937,-84.5793228149414,4.835577011108398,6.7121405601501465,-89.68009185791016,1.9138474464416504,11.839475631713867,-89.58853149414062,3.0529375076293945,11.634039878845215
18,-81.29307556152344,3.9850776195526123,7.261256978381425,-84.5793228149414,4.835577011108398,3.3945207595825195,-89.56890869140625,0.1597994565963745,9.117136001586914,-89.48942565917969,1.565469741821289,8.54603099822998
19,-84.62059020996094,4.3080644607543945,7.3041439754888415,-94.0419692993164,4.895564079284668,9.439679145812988,-93.15448760986328,0.12929660081863403,9.502079010009766,-93.07505798339844,1.5381689071655273,8.896648406982422
20,-87.91920471191406,4.623467922210693,7.1562150260433555,-94.0419692993164,4.895564079284668,6.128807544708252,-96.19111633300781,0.5345110893249512,9.227355003356934,-95.82550811767578,2.105423927307129,8.297600746154785
21,-91.22086334228516,4.939162731170654,25.53758298745379,-94.0419692993164,4.895564079284668,2.8214428424835205,-96.13192749023438,1.5251595973968506,5.981134414672852,-95.76605224609375,3.02636981010437,4.93127965927124
22,-94.5164794921875,5.254280090332031,7.43762799538672,-98.77330017089844,4.92555570602417,4.26949405670166,-104.31993103027344,0.5210832953453064,10.886266708374023,-104.50060272216797,1.7093735933303833,10.594766616821289
23,-97.71556854248047,5.570963382720947,7.104977965354919,-108.23594665527344,4.985533714294434,10.536654472351074,-108.52928924560547,-0.8349115252494812,12.568682670593262,-108.49246978759766,-0.24174803495407104,12.244558334350586
24,-101.2225570678711,5.918126583099365,6.922673026565462,-108.23594665527344,4.985533714294434,7.075122833251953,-108.4316177368164,-0.5412783026695251,9.679590225219727,-108.3864517211914,0.10169751197099686,9.22779655456543
25,-104.41236877441406,6.233891487121582,6.953049043659121,-117.7291488647461,0.28734686970710754,14.5841703414917,-113.52123260498047,-1.3014369010925293,11.821699142456055,-113.588623046875,-0.7928955554962158,11.55765438079834
26,-107.75296020507812,6.5345540046691895,6.864516995847225,-117.7291488647461,0.28734686970710754,11.770809173583984,-117.24427795410156,-1.6700594425201416,12.545948028564453,-117.23823547363281,-1.3764467239379883,12.351290702819824
27,-111.09230041503906,6.835103988647461,6.8333030212670565,-117.7291488647461,0.28734686970710754,9.323137283325195,-118.62368774414062,-0.012008488178253174,10.178641319274902,-118.60450744628906,0.7375730276107788,9.67538833618164
28,-114.4308090209961,7.135579586029053,6.9674469996243715,-117.7291488647461,0.28734686970710754,7.60114049911499,-120.4930191040039,0.0785101056098938,9.303365707397461,-120.18008422851562,1.0033490657806396,8.405856132507324
