frame_id,reference_x,reference_y,search_center_x,search_center_y,search_center_error_m,base_ms_x,base_ms_y,base_ms_error_m,final_x,final_y,error_final_m,variance_x,variance_y
13,-87.32689666748047,5.565974712371826,-82.64800478453313,12.055040188053937,8.0,-93.8128433227539,14.655693054199219,11.166489311722195,-88.1054458618164,7.0185675621032715,1.6480791349604722,18.565303802490234,50.345645904541016
14,-90.52931213378906,5.903904438018799,-98.3626821398185,4.27961556326826,8.000000000000002,-106.91722106933594,3.1249938011169434,16.6218501860552,-95.9570541381836,8.602518081665039,6.061592106364664,27.61077117919922,35.08478546142578
15,-93.73101806640625,6.241759300231934,-86.85774344351702,2.148093955049581,7.999999999999999,-96.38092041015625,2.2972025871276855,4.752000641236019,-97.09451293945312,8.508674621582031,4.056106856973129,20.32455062866211,41.2897834777832
16,-97.24320983886719,6.612377643585205,-99.5461174276458,14.273749363946116,8.0,-107.62480926513672,3.8579766750335693,10.74077889834243,-108.33589935302734,8.130921363830566,11.196148252316744,12.980461120605469,53.55735778808594
17,-100.48795318603516,6.946656227111816,-103.96504303881292,-0.2581925676728387,8.0,-108.3021469116211,1.220067024230957,9.687902119630353,-109.47371673583984,4.1686882972717285,9.405373591315689,7.216580390930176,27.222837448120117
18,-103.73233032226562,7.28089714050293,-96.30162704604649,10.24478796521058,7.999999999999997,-108.00337219238281,2.5323739051818848,6.386726201480534,-110.1815414428711,3.743932008743286,7.355436521473403,7.45078182220459,42.419368743896484
19,-107.29228973388672,7.647648811340332,-114.77353855734613,10.481535901802344,8.000000000000004,-110.46283721923828,1.5910711288452148,6.8362639344138145,-112.03113555908203,2.311647653579712,7.136495506240701,10.966826438903809,24.958538055419922
20,-110.61548614501953,7.9523024559021,-107.01330931808062,0.8091713422052269,8.000000000000002,-112.10222625732422,0.7078766226768494,7.395410861786998,-113.03512573242188,2.029461622238159,6.398023075438346,14.191143035888672,36.25886535644531
21,-113.93445587158203,8.25656795501709,-111.76547321916192,15.956926015101088,7.999999999999998,-115.6239013671875,2.9038162231445312,5.6130363606239255,-115.29541778564453,1.264744758605957,7.12304772842366,18.92828369140625,39.55681228637695
22,-117.24945068359375,8.560468673706055,-124.05030812050533,4.3475910202719605,7.999999999999998,-117.72452545166016,2.2195420265197754,6.35869851308036,-116.98371124267578,2.002295732498169,6.563554660186101,40.81231689453125,28.74514389038086
23,-120.81004333496094,8.859625816345215,-112.94954475092885,7.372157493849074,7.999999999999995,-118.84921264648438,2.948573589324951,6.227792178567995,-117.3827896118164,2.3437094688415527,7.3622845591890504,19.899272918701172,31.536212921142578
24,-124.06947326660156,9.133479118347168,-128.8607898737779,15.539982468053338,8.000000000000004,-130.16384887695312,10.00727367401123,6.156698060288171,-120.44058990478516,5.522460460662842,5.119399398348624,70.26127624511719,76.82865905761719
25,-127.31895446777344,9.40649700164795,-128.11351754950226,1.4460529493884522,8.0,-132.65032958984375,0.6130617260932922,10.283387799630978,-125.55830383300781,2.617992639541626,7.013107879680533,55.608394622802734,54.70185089111328
26,-130.83126831054688,9.741641998291016,-124.8681795270969,15.074706048224506,7.999999999999995,-131.95474243164062,10.691911697387695,1.4714641014271017,-126.6318588256836,5.621845722198486,5.882836167875625,59.98542022705078,79.56683349609375
27,-134.03652954101562,10.047489166259766,-142.03595863155468,10.143062308080633,7.999999999999998,-143.39166259765625,6.607981204986572,9.967383283646308,-135.95697021484375,7.749332904815674,2.9949314823060824,65.10145568847656,59.575286865234375
