sequence_index,frame_id,image_path,active_leg_before,active_leg_after,active_waypoint_from,active_waypoint_to,search_heading_deg,forward_local_candidate_count,topology_recovery_candidate_count,selected_branch,selected_local_index,selected_recovery_index,leg_choice,leg_state_delta,leg_probability_previous,leg_probability_current,leg_probability_next,waypoint_switched_after_frame,waypoint_advanced_after_frame,waypoint_rollback_after_frame,gt_x,gt_y,hold_x,hold_y,local_x,local_y,recovery_x,recovery_y,fusion_hold,fusion_local,fusion_recovery,visual_x,visual_y,measurement_var_x,measurement_var_y,final_x,final_y,error_visual_m,error_final_m
32,32,/yh/study/new_data/model_dataset_flight/vi/vi_000032.jpg,10,9,10,11,-32.312776748781275,13,24,1,4,0,0,-1,0.9315508604049683,0.06844917684793472,0.0,1,0,1,-127.7506332397461,8.479126930236816,-461.4723205566406,259.41253662109375,-456.7713317871094,254.62449645996094,-4.1773552894592285,-0.4327203929424286,0.33319106698036194,0.333505243062973,0.33330366015434265,-456.7713317871094,254.62449645996094,49.0,49.0,-429.65781961215293,233.67859151174417,410.9040832519531,376.6467151471001
33,33,/yh/study/new_data/model_dataset_flight/vi/vi_000033.jpg,9,10,9,10,-31.725260524087865,1,24,1,0,0,2,1,0.43307265639305115,0.031009491533041,0.5359178781509399,1,1,0,-131.07872009277344,8.831513404846191,-456.7713317871094,254.62449645996094,-461.4723205566406,259.41253662109375,-4.1773552894592285,-0.4327203929424286,0.33319151401519775,0.3335043787956238,0.33330410718917847,-461.4723205566406,259.41253662109375,49.0,49.0,-432.2415645172456,235.768503647884,414.66949462890625,377.0934319268998
34,34,/yh/study/new_data/model_dataset_flight/vi/vi_000034.jpg,10,9,10,11,-32.312776748781275,13,24,1,4,0,0,-1,0.9316301941871643,0.06836976855993271,0.0,1,0,1,-134.4064178466797,9.183857917785645,-461.4723205566406,259.41253662109375,-456.7713317871094,254.62449645996094,-4.1773552894592285,-0.4327203929424286,0.33319029211997986,0.3335059583187103,0.3333037197589874,-456.7713317871094,254.62449645996094,49.0,49.0,-434.23295752938026,237.29927575175347,405.16693115234375,376.73942951550447
35,35,/yh/study/new_data/model_dataset_flight/vi/vi_000035.jpg,9,10,9,10,-31.725260524087865,1,24,1,0,0,2,1,0.4330548048019409,0.03097492642700672,0.5359702706336975,1,1,0,-137.9134521484375,9.491893768310547,-456.7713317871094,254.62449645996094,-461.4723205566406,259.41253662109375,-4.1773552894592285,-0.4327203929424286,0.3331907391548157,0.3335050344467163,0.333304226398468,-461.4723205566406,259.41253662109375,49.0,49.0,-436.44363077893644,239.0939199423687,408.84063720703125,376.613008241073
36,36,/yh/study/new_data/model_dataset_flight/vi/vi_000036.jpg,10,9,10,11,-32.312776748781275,13,24,1,4,0,0,-1,0.9317064881324768,0.068293496966362,0.0,1,0,1,-141.10328674316406,9.772066116333008,-461.4723205566406,259.41253662109375,-456.7713317871094,254.62449645996094,-4.1773552894592285,-0.4327203929424286,0.33318957686424255,0.33350661396980286,0.3333038091659546,-456.7713317871094,254.62449645996094,49.0,49.0,-438.09293611538476,240.35400149777442,399.4984436035156,375.99319243636023
37,37,/yh/study/new_data/model_dataset_flight/vi/vi_000037.jpg,9,10,9,10,-31.725260524087865,1,24,1,0,0,2,1,0.43304187059402466,0.030941078439354897,0.536017119884491,1,1,0,-144.29208374023438,10.052149772644043,-456.7713317871094,254.62449645996094,-461.4723205566406,259.41253662109375,-4.1773552894592285,-0.4327203929424286,0.33319005370140076,0.33350569009780884,0.3333042860031128,-461.4723205566406,259.41253662109375,49.0,49.0,-439.98941893491263,241.89998160738233,403.4648742675781,375.7530188404386
38,38,/yh/study/new_data/model_dataset_flight/vi/vi_000038.jpg,10,9,10,11,-32.312776748781275,13,24,1,4,0,0,-1,0.9317908883094788,0.06820910423994064,0.0,1,0,1,-147.48928833007812,10.328798294067383,-461.4723205566406,259.41253662109375,-456.7713317871094,254.62449645996094,-4.1773552894592285,-0.4327203929424286,0.33318886160850525,0.333507239818573,0.33330386877059937,-456.7713317871094,254.62449645996094,49.0,49.0,-441.35047312315356,242.93196797144432,394.1266174316406,374.7781083147102
39,39,/yh/study/new_data/model_dataset_flight/vi/vi_000039.jpg,9,10,9,10,-31.725260524087865,1,24,1,0,0,2,1,0.43301910161972046,0.030888838693499565,0.5360920429229736,1,1,0,-150.68637084960938,10.605437278747559,-456.7713317871094,254.62449645996094,-461.4723205566406,259.41253662109375,-4.1773552894592285,-0.4327203929424286,0.3331893980503082,0.3335062861442566,0.33330434560775757,-461.4723205566406,259.41253662109375,49.0,49.0,-442.98214433694454,244.26836639500675,398.11163330078125,374.21275184278466
40,40,/yh/study/new_data/model_dataset_flight/vi/vi_000040.jpg,10,9,10,11,-32.312776748781275,13,24,1,4,0,0,-1,0.9318650364875793,0.06813494116067886,0.0,1,0,1,-154.1981964111328,10.909310340881348,-461.4723205566406,259.41253662109375,-456.7713317871094,254.62449645996094,-4.1773552894592285,-0.4327203929424286,0.3331882059574127,0.33350783586502075,0.33330392837524414,-456.7713317871094,254.62449645996094,49.0,49.0,-444.1001527507102,245.10802552799265,388.51971435546875,372.6824150463876
41,41,/yh/study/new_data/model_dataset_flight/vi/vi_000041.jpg,9,10,9,10,-31.725260524087865,1,24,1,0,0,2,1,0.43300551176071167,0.030863206833600998,0.5361313223838806,1,1,0,-157.47799682617188,11.261993408203125,-456.7713317871094,254.62449645996094,-461.4723205566406,259.41253662109375,-4.1773552894592285,-0.4327203929424286,0.3331886827945709,0.33350691199302673,0.33330440521240234,-461.4723205566406,259.41253662109375,49.0,49.0,-445.50850434200373,246.2676819881382,392.41717529296875,371.7381429511331
