current_index,next_index,current_frame_id,next_frame_id,current_reference_x,current_reference_y,current_ms_x,current_ms_y,provisional_next_x,provisional_next_y,next_reference_x,next_reference_y,provisional_next_error_m,final_next_ms_x,final_next_ms_y,final_next_error_m,ms_correction_gain_m,ms_improved_provisional,current_ms_candidate_count,final_ms_candidate_count
11,12,11,12,-57.930152893066406,1.7030118703842163,-54.707862854003906,1.8979504108428955,-59.82487106323242,3.0215578079223633,-61.281715393066406,2.0263473987579346,1.7643239951547054,-72.72749328613281,8.295098304748535,13.050021819857836,-11.285697824703131,False,36,36
12,13,12,13,-61.281715393066406,2.0263473987579346,-71.48768615722656,3.3606817722320557,-66.71288299560547,2.3076512813568115,-64.62455749511719,2.3488411903381348,2.0887316736698183,-75.5535888671875,3.219716787338257,10.96367415774235,-8.874942484072532,False,36,36
13,14,13,14,-64.62455749511719,2.3488411903381348,-75.41407775878906,6.955306053161621,-75.00062561035156,5.544013500213623,-67.96265411376953,2.678952693939209,7.598790443902958,-78.41338348388672,6.159744739532471,11.015155815152834,-3.416365371249876,False,36,36
14,15,14,15,-67.96265411376953,2.678952693939209,-74.39954376220703,6.409513473510742,-72.59066772460938,4.980578422546387,-71.30087280273438,3.009075880050659,2.355927251754955,-76.67483520507812,5.20000696182251,5.803417174982183,-3.447489923227228,False,36,36
15,16,15,16,-71.30087280273438,3.009075880050659,-76.67483520507812,5.20000696182251,-75.2532958984375,3.520385265350342,-74.64299774169922,3.3395848274230957,0.6365160158808478,-79.19923400878906,5.8476481437683105,5.200929774601975,-4.564413758721127,False,36,36
16,17,16,17,-74.64299774169922,3.3395848274230957,-79.19923400878906,5.8476481437683105,-80.67879486083984,3.432887554168701,-77.97047424316406,3.6625680923461914,2.718042258270689,-84.58065795898438,5.6331939697265625,6.897673166039197,-4.179630907768508,False,36,36
17,18,17,18,-77.97047424316406,3.6625680923461914,-84.58065795898438,5.6331939697265625,-83.16829681396484,4.556889533996582,-81.29307556152344,3.9850776195526123,1.9604651517198652,-83.3309555053711,3.882462501525879,2.0404618418348743,-0.0799966901150091,False,36,36
18,19,18,19,-81.29307556152344,3.9850776195526123,-80.61783599853516,3.7485320568084717,-81.26136779785156,2.8250157833099365,-84.62059020996094,4.3080644607543945,3.6720305818018026,-83.60548400878906,4.682765960693359,1.0820544411969784,2.5899761406048243,True,36,36
19,20,19,20,-84.62059020996094,4.3080644607543945,-85.51878356933594,4.550119400024414,-86.14319610595703,4.38098669052124,-87.91920471191406,4.623467922210693,1.792485346147932,-87.06005859375,4.608890533447266,0.8592697787188476,0.9332155674290844,True,36,36
20,21,20,21,-87.91920471191406,4.623467922210693,-89.84191131591797,4.285179138183594,-91.10247039794922,3.8783321380615234,-91.22086334228516,4.939162731170654,1.0674167117601274,-91.37755584716797,5.15184211730957,0.26416862488735554,0.8032480868727718,True,36,36
21,22,21,22,-91.22086334228516,4.939162731170654,-91.37755584716797,5.15184211730957,-90.65524291992188,4.499561786651611,-94.5164794921875,5.254280090332031,3.934303951769848,-91.6892318725586,4.872828006744385,2.852864314118474,1.081439637651374,True,36,36
22,23,22,23,-94.5164794921875,5.254280090332031,-94.29205322265625,4.656792163848877,-96.49620056152344,4.561094284057617,-97.71556854248047,5.570963382720947,1.5832542024003327,-97.11215209960938,4.589775085449219,1.151886226252488,0.4313679761478446,True,36,36
23,24,23,24,-97.71556854248047,5.570963382720947,-97.11215209960938,4.589775085449219,-99.17560577392578,5.309240818023682,-101.2225570678711,5.918126583099365,2.13559159829219,-95.80888366699219,5.11279296875,5.473246013270808,-3.3376544149786183,False,36,36
