frame_id,image_path,gt_x,gt_y,predicted_current_x,predicted_current_y,search_center_x,search_center_y,raw_top1_x,raw_top1_y,hardms_x,hardms_y,global_top1_x,global_top1_y,local_anchor_x,local_anchor_y,recovery_anchor_x,recovery_anchor_y,recovery_probability,leg_switch_probability,measurement_anchor_x,measurement_anchor_y,measurement_x,measurement_y,measurement_var_x,measurement_var_y,response_var_parallel,response_var_cross,confidence,global_entropy,global_margin,global_mode_mass,waypoint_pass_probability,route_prior_sigma_m,recovery_distance_m,kalman_nis,kalman_r_scale,v_parallel,v_cross,a_parallel,a_cross,poly_next_step_parallel,poly_next_step_cross,model_next_step_m,waypoint_leg_before_visual,waypoint_leg,target_waypoint,route_progress,route_remaining_m,route_cross_track_m,waypoint_alignment,movement_heading_deg,local_candidate_capture,candidate_capture,route_corridor_capture,final_x,final_y,final_vx,final_vy,final_speed,final_step_m,error_final_m
1736,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_001736.jpg,-1249.925537109375,546.6009521484375,-1056.0708304294799,169.3327744261372,-1056.0708304294799,169.3327744261372,-1048.771240234375,167.94171142578125,-1053.502685546875,167.97140502929688,-4.1773552894592285,-0.4327203929424286,-1056.8553466796875,167.38441467285156,-4.798598289489746,0.6257050633430481,0.027945134788751602,0.048935677856206894,-1027.45556640625,162.7243194580078,-1027.130126953125,162.15516662597656,18083.416015625,23761.78515625,123832.1484375,163798.796875,0.4385007917881012,0.9956827163696289,6.354722427204251e-05,0.020393628627061844,0.2861677408218384,129.68292180950493,1064.72314453125,0.042884751057283683,1.0,2.580970287322998,-0.2717002034187317,0.9621897339820862,-0.16188770532608032,3.0620651245117188,-0.35264405608177185,3.0823042392730713,0,0,1,1.0,0.0,-59.792240905855216,-0.9972301223185052,166.91793644073348,0,0,0,-1052.7189700334177,168.55232989664478,-3.3100099434578083,0.7691712105111748,3.3982039634001944,0.3599398388061898,426.3932350358794
1737,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_001737.jpg,-1252.6943359375,546.9646606445312,-1055.7265334754095,169.22698810573024,-1055.7265334754095,169.22698810573024,-1048.771240234375,167.94171142578125,-1048.771240234375,167.94171142578125,-4.1773552894592285,-0.4327203929424286,-1052.8837890625,167.80523681640625,-4.745645046234131,0.6087767481803894,0.027948813512921333,0.04893278330564499,-1023.589599609375,163.13229370117188,-1023.263916015625,162.56285095214844,17092.015625,22523.103515625,116920.375,155110.75,0.4383242726325989,0.9958084225654602,6.181426579132676e-05,0.020957231521606445,0.285952091217041,128.55133413418014,1064.4215087890625,0.05604944565695459,1.0,2.576907157897949,-0.27118223905563354,0.9606752395629883,-0.16156838834285736,3.0572447776794434,-0.3519664406776428,3.0774381160736084,0,0,1,1.0,0.0,-59.723478094868845,-0.9973579792175863,166.78226608299101,0,0,0,-1051.8527357580335,168.4811776087117,-3.2826857166482735,0.7710189980379996,3.372016579084704,0.8691515793740637,428.4706469451252
1738,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_001738.jpg,-1255.7103271484375,547.36083984375,-1054.8555774690778,169.1546519652438,-1054.8555774690778,169.1546519652438,-1048.771240234375,167.94171142578125,-1048.771240234375,167.94171142578125,-4.1773552894592285,-0.4327203929424286,-1052.6690673828125,168.20062255859375,-4.572426795959473,0.5768374800682068,0.027949800714850426,0.04893031343817711,-1023.375,163.5155792236328,-1023.0491333007812,162.94593811035156,16420.861328125,21797.43359375,112288.5625,150088.09375,0.4382883608341217,0.9958658218383789,4.481023643165827e-05,0.021272648125886917,0.28695955872535706,127.26346174988923,1063.72607421875,0.05573365450203621,1.0,2.575143575668335,-0.2709024250507355,0.9600529670715332,-0.16138920187950134,3.0551700592041016,-0.35159701108932495,3.0753350257873535,0,0,1,1.0,0.0,-59.74370289692186,-0.9973399597049657,166.75367096943546,0,0,0,-1051.0129371211954,168.45459173339825,-3.277807750301673,0.7715996207350155,3.3674010189842454,0.8402193518370236,430.66340260234364
1739,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_001739.jpg,-1258.7388916015625,547.7586669921875,-1054.0137548969217,169.12747916299324,-1054.0137548969217,169.12747916299324,-1048.771240234375,167.94171142578125,-1048.771240234375,167.94171142578125,-4.1773552894592285,-0.4327203929424286,-1052.6995849609375,168.1567840576172,-4.599880695343018,0.5987693667411804,0.027948783710598946,0.04893341660499573,-1023.4064331054688,163.47373962402344,-1023.080810546875,162.90411376953125,17005.65625,22518.123046875,116339.9140625,155109.0625,0.43836092948913574,0.9957403540611267,4.337349673733115e-05,0.020964886993169785,0.287036657333374,125.96585233574524,1062.860107421875,0.05136706351983711,1.0,2.578125476837158,-0.27114731073379517,0.9611916542053223,-0.1615147441625595,3.0587213039398193,-0.3519046902656555,3.0788979530334473,0,0,1,1.0,0.0,-59.80575493596512,-0.9972542647521752,166.78884222834782,0,0,0,-1050.4760510690496,168.4606790312679,-3.289819044546323,0.7722960248282347,3.379252949369901,0.536920560403491,432.7128082433808
1740,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_001740.jpg,-1260.9417724609375,548.0135498046875,-1053.4803675778196,169.13424820388866,-1053.4803675778196,169.13424820388866,-1048.771240234375,167.94171142578125,-1048.771240234375,167.94171142578125,-4.1773552894592285,-0.4327203929424286,-1052.856689453125,168.1319580078125,-4.604284763336182,0.5761426091194153,0.02794821187853813,0.0489339716732502,-1023.5598754882812,163.44906616210938,-1023.2340698242188,162.87918090820312,16145.40625,21452.5625,110454.09375,147783.578125,0.43838146328926086,0.9959582686424255,4.771910607814789e-05,0.02147712931036949,0.2865881323814392,125.03484913480261,1062.333740234375,0.051615141929223674,1.0,2.578735589981079,-0.2712482511997223,0.9614369869232178,-0.16158755123615265,3.0594539642333984,-0.352042019367218,3.079641819000244,0,0,1,1.0,0.0,-59.86892309537296,-0.9971988967224333,166.80243748967283,0,0,0,-1049.919744971443,168.4455892845298,-3.2915651786388005,0.7718819102703061,3.380858324246968,0.5565107139049594,434.2834704881237
1741,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_001741.jpg,-1263.365966796875,548.2939453125,-1052.924775424648,169.11937249742996,-1052.924775424648,169.11937249742996,-1048.771240234375,167.94171142578125,-1048.771240234375,167.94171142578125,-4.1773552894592285,-0.4327203929424286,-1052.9656982421875,167.9451904296875,-4.638538837432861,0.5912727117538452,0.027946367859840393,0.04893391951918602,-1023.6687622070312,163.2682647705078,-1023.3428955078125,162.6984405517578,16323.615234375,21633.357421875,111700.9453125,149055.859375,0.4384094476699829,0.9957883954048157,6.251060403883457e-05,0.021339256316423416,0.28604763746261597,123.97162944517002,1061.74658203125,0.04918225138484036,1.0,2.5783908367156982,-0.27123165130615234,0.961281955242157,-0.16157986223697662,3.0590317249298096,-0.35202157497406006,3.0792198181152344,0,0,1,1.0,0.0,-59.91291747925324,-0.9971307366492397,166.8355128634638,0,0,0,-1049.543399549264,168.43057555360468,-3.300386727205558,0.7719408620477362,3.389460907521079,0.3766447781548658,435.9085568659353
1742,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_001742.jpg,-1265.571044921875,548.549072265625,-1052.5480123825255,169.10429382724436,-1052.5480123825255,169.10429382724436,-1048.771240234375,167.94171142578125,-1048.771240234375,167.94171142578125,-4.1773552894592285,-0.4327203929424286,-1052.830810546875,167.87649536132812,-4.606321334838867,0.5984269380569458,0.027945861220359802,0.048933759331703186,-1023.5372314453125,163.20176696777344,-1023.2117309570312,162.63255310058594,16330.958984375,21616.052734375,111751.28125,148932.078125,0.43840134143829346,0.9957905411720276,6.183423101902008e-05,0.02130570262670517,0.2861809730529785,123.10910596686237,1061.40283203125,0.04850394791780086,1.0,2.5777342319488525,-0.2711828947067261,0.9610145092010498,-0.16155317425727844,3.058241367340088,-0.3519594669342041,3.078427314758301,0,0,1,1.0,0.0,-59.937788330195325,-0.997096538581556,166.84631274224418,0,0,0,-1049.2483883157693,168.42001612641423,-3.30291935727358,0.7718766204255019,3.3919124101031874,0.29520015140693057,437.37122800020853
1743,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_001743.jpg,-1267.686279296875,549.1079711914062,-1052.2522218183003,169.0935890243253,-1052.2522218183003,169.0935890243253,-1048.771240234375,167.94171142578125,-1048.771240234375,167.94171142578125,-4.1773552894592285,-0.4327203929424286,-1053.278564453125,167.4996337890625,-4.664990425109863,0.5687572360038757,0.02794811688363552,0.04893508553504944,-1023.9717407226562,162.834228515625,-1023.64599609375,162.26486206054688,17231.427734375,22903.419921875,117838.78125,157716.046875,0.4382798373699188,0.9946349263191223,6.219657370820642e-05,0.02071027271449566,0.28620290756225586,122.37066109432143,1061.0557861328125,0.044299431932726945,1.0,2.5751028060913086,-0.2711322605609894,0.9599970579147339,-0.16157954931259155,3.0551013946533203,-0.35192203521728516,3.075303792953491,0,0,1,1.0,0.0,-59.95844088816272,-0.9970332124335893,166.8929305939951,0,0,0,-1049.2255634887313,168.4170640575787,-3.3150766875038085,0.7718737017877554,3.403751232910942,0.02301493948990544,438.9198686842315
1744,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_001744.jpg,-1269.6151123046875,549.6177368164062,-1052.2262785358523,169.090267391791,-1052.2262785358523,169.090267391791,-1048.771240234375,167.94171142578125,-1053.502685546875,167.97140502929688,-4.1773552894592285,-0.4327203929424286,-1053.7188720703125,167.09580993652344,-4.741934776306152,0.5462518930435181,0.027948647737503052,0.04893483966588974,-1024.4014892578125,162.4409942626953,-1024.075439453125,161.87118530273438,19729.828125,26282.734375,134970.0,181050.390625,0.43833088874816895,0.9928675889968872,5.847145803272724e-05,0.01937844417989254,0.28697729110717773,122.03751715717918,1060.9573974609375,0.03823766150869258,1.0,2.575101852416992,-0.2711072564125061,0.9599905014038086,-0.1615581214427948,3.0550971031188965,-0.3518863320350647,3.0752956867218018,0,0,1,1.0,0.0,-59.95788293141109,-0.9970053620837436,166.9271148863346,0,0,0,-1049.605805218928,168.46280537761433,-3.3317830944638214,0.7736682646441645,3.4204299689180058,0.3829830828399946,440.0945091278306
1745,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_001745.jpg,-1270.1434326171875,550.5604248046875,-1052.6065198190142,169.13597280002816,-1052.6065198190142,169.13597280002816,-1048.771240234375,167.94171142578125,-1053.502685546875,167.97140502929688,-4.1773552894592285,-0.4327203929424286,-1054.062255859375,166.87493896484375,-4.8062005043029785,0.5136518478393555,0.02794329635798931,0.048933859914541245,-1024.7425537109375,162.22625732421875,-1024.416015625,161.65585327148438,22182.287109375,29656.125,151822.34375,204401.296875,0.43838316202163696,0.9906105995178223,5.897576920688152e-05,0.018266476690769196,0.2876521944999695,122.40156531633717,1061.2818603515625,0.03454606865598447,1.0,2.5750350952148438,-0.27113693952560425,0.9599488973617554,-0.16158424317836761,3.055009603500366,-0.35192906856536865,3.075213670730591,0,0,1,1.0,0.0,-59.96309886604595,-0.9970105165471475,166.9432262718281,0,0,0,-1050.2309991512604,168.55011236065965,-3.3440160156693164,0.7755178878037516,3.432764353601406,0.6312606136246374,440.78720172719346
1746,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_001746.jpg,-1270.6246337890625,551.4190063476562,-1053.231622079403,169.22331298286062,-1053.231622079403,169.22331298286062,-1048.771240234375,167.94171142578125,-1053.502685546875,167.97140502929688,-4.1773552894592285,-0.4327203929424286,-1054.19921875,166.85044860839844,-4.8132781982421875,0.4829321801662445,0.02794347144663334,0.04893258213996887,-1024.875732421875,162.20155334472656,-1024.549072265625,161.630859375,23529.57421875,31559.384765625,161026.640625,217510.640625,0.4383602738380432,0.9897438883781433,5.543115548789501e-05,0.017726493999361992,0.2881407141685486,123.25975069299119,1061.9107666015625,0.03381558733935932,1.0,2.5733067989349365,-0.27092480659484863,0.9593235850334167,-0.1614610105752945,3.0529685020446777,-0.3516553044319153,3.0731544494628906,0,0,1,1.0,0.0,-59.98380739123874,-0.9970426056621486,166.93910906193443,0,0,0,-1050.903655625977,168.65294965208417,-3.345998100533131,0.7762309328158622,3.4348562924570083,0.6804720725244637,441.34698639870754
1747,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_001747.jpg,-1271.106201171875,552.2782592773438,-1053.9022780732294,169.32566217184907,-1053.9022780732294,169.32566217184907,-1048.771240234375,167.94171142578125,-1053.502685546875,167.97140502929688,-4.1773552894592285,-0.4327203929424286,-1054.10498046875,167.0084228515625,-4.747415542602539,0.4822167754173279,0.02794407308101654,0.04893096536397934,-1024.7816162109375,162.35499572753906,-1024.4549560546875,161.78448486328125,22432.974609375,30111.908203125,153454.53125,207449.703125,0.43828117847442627,0.990070104598999,5.21804322488606e-05,0.018123269081115723,0.28848642110824585,124.3148219888166,1062.6541748046875,0.037049103214096914,1.0,2.571934700012207,-0.2707591950893402,0.9588173031806946,-0.16136261820793152,3.0513434410095215,-0.3514404892921448,3.0715155601501465,0,0,1,1.0,0.0,-60.014620679628514,-0.9970827137311742,166.9221913753238,0,0,0,-1051.3552773079703,168.72265333324657,-3.3318584481231057,0.7739875180839499,3.420575594323134,0.4569690873723654,442.0467977377319
1748,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_001748.jpg,-1271.03369140625,553.8015747070312,-1054.3523064336607,169.39498021095977,-1054.3523064336607,169.39498021095977,-1048.771240234375,167.94171142578125,-1053.502685546875,167.97140502929688,-4.1773552894592285,-0.4327203929424286,-1054.244384765625,166.8640899658203,-4.804652690887451,0.4835980534553528,0.027940329164266586,0.0489322766661644,-1024.9227294921875,162.2153778076172,-1024.5960693359375,161.64468383789062,24175.572265625,32471.3671875,165468.125,223830.203125,0.4383622109889984,0.989250898361206,5.2753661293536425e-05,0.017478181049227715,0.2889607846736908,125.11615516467856,1063.052734375,0.03533329588095523,1.0,2.572662591934204,-0.2708697021007538,0.9590888023376465,-0.1614340990781784,3.0522069931030273,-0.3515867590904236,3.07239031791687,0,0,1,1.0,0.0,-60.03593260254486,-0.9970921576651867,166.9312736031845,0,0,0,-1051.9135534573768,168.8085200632802,-3.3356977556906986,0.774322115413573,3.424391078095274,0.5648409991518514,442.98226485792804
1749,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_001749.jpg,-1270.961181640625,555.3242797851562,-1054.9114256907676,169.48108382475291,-1054.9114256907676,169.48108382475291,-1048.771240234375,167.94171142578125,-1053.502685546875,167.97140502929688,-4.1773552894592285,-0.4327203929424286,-1054.153564453125,166.98287963867188,-4.756081581115723,0.48018765449523926,0.027941353619098663,0.048930637538433075,-1024.83203125,162.33056640625,-1024.5054931640625,161.75999450683594,23121.626953125,31060.39453125,158204.46875,214039.59375,0.438310444355011,0.9895729422569275,5.131278885528445e-05,0.017845772206783295,0.2891217768192291,126.1663240105856,1063.6669921875,0.038270662078195676,1.0,2.5717689990997314,-0.2707277536392212,0.9587627053260803,-0.16134268045425415,3.051150321960449,-0.35139909386634827,3.0713186264038086,0,0,1,1.0,0.0,-60.06239308809567,-0.9971264354955006,166.91589921507781,0,0,0,-1052.2654159350166,168.86092493288976,-3.3257718505535236,0.7729585587783675,3.414414054493529,0.35574355022908183,444.05153144790665
1750,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_001750.jpg,-1270.8814697265625,556.9982299804688,-1055.262257306076,169.53319025390607,-1055.262257306076,169.53319025390607,-1048.771240234375,167.94171142578125,-1053.502685546875,167.97140502929688,-4.1773552894592285,-0.4327203929424286,-1054.0765380859375,167.0944061279297,-4.723512649536133,0.48567721247673035,0.027941342443227768,0.048931289464235306,-1024.7562255859375,162.4391326904297,-1024.429443359375,161.8682403564453,22569.734375,30287.35546875,154428.8125,208709.125,0.4383125901222229,0.9901700019836426,4.872371209785342e-05,0.018062759190797806,0.28927433490753174,126.95758066224822,1064.0528564453125,0.04009964416255629,1.0,2.5712716579437256,-0.2706644535064697,0.9585846662521362,-0.16130517423152924,3.0505640506744385,-0.35131704807281494,3.0707268714904785,0,0,1,1.0,0.0,-60.07708591553066,-0.9971485098930459,166.9053437208875,0,0,0,-1052.4809432045513,168.89431099573358,-3.317636753516873,0.771712086602035,3.406208034294682,0.218097760431666,445.33520174852737
