frame_id,image_path,reference_x,reference_y,raw_visual_x,raw_visual_y,forward_ms_x,forward_ms_y,variance_x,variance_y,final_x,final_y,error_final_m,gru_xy_x,gru_xy_y,kalman_xy_x,kalman_xy_y
1935,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_001935.jpg,-842.95654296875,544.460205078125,-853.34619140625,534.154052734375,-853.4440307617188,532.8154296875,11.371935844421387,48.62355422973633,-844.6913452148438,534.791015625,9.82358201031964,-844.6913452148438,534.791015625,-853.1792602539062,534.9515380859375
1936,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_001936.jpg,-838.7200927734375,541.758544921875,-848.5933837890625,534.8707275390625,-848.6932373046875,533.1487426757812,17.645334243774414,58.517425537109375,-840.536376953125,532.8518676757812,9.089982826577135,-840.536376953125,532.8518676757812,-849.6409301757812,533.2453002929688
1937,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_001937.jpg,-835.8197631835938,539.9136962890625,-841.520751953125,531.4452514648438,-841.3233642578125,531.0689697265625,13.786303520202637,44.061466217041016,-834.3751831054688,530.74462890625,9.28216614119095,-834.3751831054688,530.74462890625,-843.6426391601562,531.3436889648438
1938,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_001938.jpg,-833.1817626953125,538.2357788085938,-841.624755859375,531.1346435546875,-841.4609375,530.6400146484375,13.715116500854492,42.6524772644043,-831.15380859375,529.3086547851562,9.154569414662772,-831.15380859375,529.3086547851562,-840.6544189453125,530.0841674804688
1939,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_001939.jpg,-830.2846069335938,536.3929443359375,-838.0653076171875,531.8471069335938,-838.0001220703125,531.650390625,13.326868057250977,44.6563835144043,-827.7630004882812,531.1260986328125,5.839363212334699,-827.7630004882812,531.1260986328125,-837.553955078125,529.8489379882812
1940,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_001940.jpg,-827.6398315429688,534.6903686523438,-838.2774047851562,526.98779296875,-838.292724609375,526.2332763671875,13.982069969177246,56.36367416381836,-825.9617919921875,528.9889526367188,5.943228189899105,-825.9617919921875,528.9889526367188,-836.3475952148438,527.7051391601562
1941,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_001941.jpg,-824.7363891601562,532.8212890625,-834.4490356445312,527.3560791015625,-834.6224365234375,526.760009765625,13.94491958618164,55.27511978149414,-823.5354614257812,525.5628051757812,7.357160848924455,-823.5354614257812,525.5628051757812,-834.1702880859375,526.4371948242188
1942,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_001942.jpg,-821.8286743164062,530.949462890625,-834.38525390625,526.9557495117188,-834.534912109375,526.249267578125,13.62181568145752,52.70332336425781,-822.0829467773438,525.4644775390625,5.490875958464771,-822.0829467773438,525.4644775390625,-833.2293701171875,525.5320434570312
1943,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_001943.jpg,-818.8846435546875,529.029541015625,-830.0030517578125,524.994873046875,-830.408203125,523.6433715820312,14.279450416564941,72.86563110351562,-821.608642578125,523.9498901367188,5.763941683541003,-821.608642578125,523.9498901367188,-830.7874145507812,524.0300903320312
1944,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_001944.jpg,-816.2036743164062,527.2811279296875,-826.09326171875,526.0511474609375,-826.51611328125,525.2833251953125,10.272401809692383,74.85198974609375,-817.3489379882812,524.0264892578125,3.4502611151304,-817.3489379882812,524.0264892578125,-827.3219604492188,523.6288452148438
